,id,entry_date,entry_weekday,exit_date,exit_weekday,duration,symbol,long,short,nshares,entry_price,entry_score,entry_value,exit_price,exit_score,exit_value,entry_comm,exit_comm,$change,%change,profitable,p.positions,p.cash,p.sh_cash,p.invested_capital,market_value
2020-01-17 00:00:00 MS,1,2020-01-17,5,0,0,0,MS,1,0,18,53.71,0,966.85,0.0,0,0.0,-0.97,0.0,0.0,0.0,0,l: 1 s: 0,9032.18,0.0,966.85,9999.03
2020-01-21 00:00:00 QCOM,2,2020-01-21,2,0,0,0,QCOM,1,0,10,91.61,0,916.13,0.0,0,0.0,-0.92,0.0,0.0,0.0,0,l: 2 s: 0,8115.14,0.0,1882.98,9998.12
2020-01-24 00:00:00 CTXS,3,2020-01-24,5,0,0,0,CTXS,1,0,8,126.3,0,1010.4,0.0,0,0.0,-1.01,0.0,0.0,0.0,0,l: 3 s: 0,7103.73,0.0,2893.38,9997.11
2020-01-27 00:00:00 INTC,4,2020-01-27,1,0,0,0,INTC,1,0,15,63.9,0,958.46,0.0,0,0.0,-0.96,0.0,0.0,0.0,0,l: 4 s: 0,6144.31,0.0,3851.84,9996.15
2020-01-30 00:00:00 GE,5,2020-01-30,4,0,0,0,GE,1,0,9,102.45,0,922.01,0.0,0,0.0,-0.92,0.0,0.0,0.0,0,l: 5 s: 0,5221.38,0.0,4773.85,9995.23
2020-01-31 00:00:00 NOW,6,2020-01-31,5,0,0,0,NOW,1,0,3,339.5,0,1018.5,0.0,0,0.0,-1.02,0.0,0.0,0.0,0,l: 6 s: 0,4201.86,0.0,5792.35,9994.21
2020-02-03 00:00:00 AJG,7,2020-02-03,1,0,0,0,AJG,1,0,10,100.44,0,1004.42,0.0,0,0.0,-1.0,0.0,0.0,0.0,0,l: 7 s: 0,3196.43,0.0,6796.77,9993.2
2020-02-05 00:00:00 ZBH,8,2020-02-05,3,0,0,0,ZBH,1,0,6,155.12,0,930.7,0.0,0,0.0,-0.93,0.0,0.0,0.0,0,l: 8 s: 0,2264.8,0.0,7727.47,9992.27
2020-02-06 00:00:00 BIIB,9,2020-02-06,4,0,0,0,BIIB,1,0,3,338.39,0,1015.17,0.0,0,0.0,-1.02,0.0,0.0,0.0,0,l: 9 s: 0,1248.62,0.0,8742.64,9991.26
2020-02-06 00:00:00 IBM,10,2020-02-06,4,0,0,0,IBM,1,0,9,137.44,0,1236.95,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 10 s: 0,10.43,0.0,9979.59,9990.02
2020-02-24 00:00:00 CTXS,3,2020-01-24,5,2020-02-24 00:00:00,1,31,CTXS,1,0,8,126.3,0,1010.4,112.23,0,897.82,0.0,-0.9,-112.57,-11.14,0,l: 10 s: 0,907.36,0.0,8969.19,9876.55
2020-02-25 00:00:00 INTC,4,2020-01-27,1,2020-02-25 00:00:00,2,29,INTC,1,0,15,63.9,0,958.46,59.66,0,894.89,0.0,-0.89,-63.56,-6.63,0,l: 9 s: 0,1801.36,0.0,8010.73,9812.09
2020-02-25 00:00:00 MS,1,2020-01-17,5,2020-02-25 00:00:00,2,39,MS,1,0,18,53.71,0,966.85,48.03,0,864.56,0.0,-0.86,-102.29,-10.58,0,l: 8 s: 0,2665.06,0.0,7043.88,9708.94
2020-02-25 00:00:00 QCOM,2,2020-01-21,2,2020-02-25 00:00:00,2,35,QCOM,1,0,10,91.61,0,916.13,80.67,0,806.67,0.0,-0.81,-109.46,-11.95,0,l: 7 s: 0,3470.92,0.0,6127.75,9598.68
2020-02-26 00:00:00 GE,5,2020-01-30,4,2020-02-26 00:00:00,3,27,GE,1,0,9,102.45,0,922.01,90.37,0,813.29,0.0,-0.81,-108.72,-11.79,0,l: 6 s: 0,4283.4,0.0,5205.74,9489.14
2020-02-28 00:00:00 AJG,7,2020-02-03,1,2020-02-28 00:00:00,5,25,AJG,1,0,10,100.44,0,1004.42,94.29,0,942.94,0.0,-0.94,-61.49,-6.12,0,l: 5 s: 0,5225.39,0.0,4201.32,9426.71
2020-02-28 00:00:00 IBM,10,2020-02-06,4,2020-02-28 00:00:00,5,22,IBM,1,0,9,137.44,0,1236.95,115.11,0,1035.95,0.0,-1.04,-201.0,-16.25,0,l: 4 s: 0,6260.3,0.0,2964.37,9224.67
2020-02-28 00:00:00 NOW,6,2020-01-31,5,2020-02-28 00:00:00,5,28,NOW,1,0,3,339.5,0,1018.5,310.0,0,930.0,0.0,-0.93,-88.5,-8.69,0,l: 3 s: 0,7189.37,0.0,1945.87,9135.24
2020-02-28 00:00:00 ZBH,8,2020-02-05,3,2020-02-28 00:00:00,5,23,ZBH,1,0,6,155.12,0,930.7,134.66,0,807.97,0.0,-0.81,-122.73,-13.19,0,l: 2 s: 0,7996.53,0.0,1015.17,9011.7
2020-03-10 00:00:00 BIIB,9,2020-02-06,4,2020-03-10 00:00:00,2,33,BIIB,1,0,3,338.39,0,1015.17,304.49,0,913.47,0.0,-0.91,-101.7,-10.02,0,l: 1 s: 9,8901.14,7947.78,-7947.78,8901.14
2020-03-26 00:00:00 AAL,11,2020-02-28,5,2020-03-26 00:00:00,4,27,AAL,0,1,-44,19.8,0,-871.2,16.06,0,-706.64,0.0,-0.71,164.56,-18.89,1,l: 0 s: 10,9064.05,8020.53,-8020.53,9064.05
2020-03-27 00:00:00 DXC,14,2020-02-28,5,2020-03-27 00:00:00,5,28,DXC,0,1,-39,22.6,0,-881.53,14.23,0,-554.97,0.0,-0.55,326.56,-37.05,1,l: 0 s: 9,9390.06,7139.0,-7139.0,9390.06
2020-03-27 00:00:00 HFC,16,2020-02-28,5,2020-03-27 00:00:00,5,28,HFC,0,1,-29,30.18,0,-875.25,21.86,0,-633.81,0.0,-0.63,241.44,-27.59,1,l: 0 s: 8,9630.86,6263.75,-6263.75,9630.86
2020-03-30 00:00:00 DVN,13,2020-02-28,5,2020-03-30 00:00:00,1,31,DVN,0,1,-65,13.72,0,-892.07,5.72,0,-372.04,0.0,-0.37,520.03,-58.29,1,l: 0 s: 7,10150.52,5371.68,-5371.68,10150.52
2020-03-30 00:00:00 FANG,15,2020-02-28,5,2020-03-30 00:00:00,1,31,FANG,0,1,-16,54.24,0,-867.89,21.74,0,-347.86,0.0,-0.35,520.03,-59.92,1,l: 0 s: 6,10670.2,4503.78,-4503.78,10670.2
2020-03-30 00:00:00 MRO,17,2020-02-28,5,2020-03-30 00:00:00,1,31,MRO,0,1,-122,7.45,0,-908.51,3.43,0,-418.85,0.0,-0.42,489.66,-53.9,1,l: 0 s: 5,11159.45,3595.27,-3595.27,11159.45
2020-04-01 00:00:00 NCLH,18,2020-02-28,5,2020-04-01 00:00:00,3,33,NCLH,0,1,-27,33.28,0,-898.56,10.5,0,-283.5,0.0,-0.28,615.06,-68.45,1,l: 0 s: 4,11774.22,2696.71,-2696.71,11774.22
2020-04-01 00:00:00 RCL,19,2020-02-28,5,2020-04-01 00:00:00,3,33,RCL,0,1,-12,73.19,0,-878.32,30.3,0,-363.6,0.0,-0.36,514.72,-58.6,1,l: 0 s: 3,12288.58,1818.39,-1818.39,12288.58
2020-04-06 00:00:00 APA,20,2020-03-10,2,2020-04-06 00:00:00,1,27,APA,0,1,-84,11.24,0,-943.95,5.14,0,-431.71,0.0,-0.43,512.24,-54.27,1,l: 0 s: 2,12800.39,874.44,-874.44,12800.39
2020-04-07 00:00:00 CCL,12,2020-02-28,5,2020-04-07 00:00:00,2,39,CCL,0,1,-28,31.23,0,-874.44,12.35,0,-345.8,0.0,-0.35,528.64,-60.45,1,l: 0 s: 1,13328.68,0.0,0.0,13328.68
2020-05-08 00:00:00 FTNT,21,2020-05-08,5,0,0,0,FTNT,1,0,9,134.23,0,1208.07,0.0,0,0.0,-1.21,0.0,0.0,0.0,0,l: 1 s: 0,12119.4,0.0,1208.07,13327.47
2020-05-28 00:00:00 MS,22,2020-05-28,4,0,0,0,MS,1,0,29,45.81,0,1328.41,0.0,0,0.0,-1.33,0.0,0.0,0.0,0,l: 2 s: 0,10789.66,0.0,2536.48,13326.14
2020-05-29 00:00:00 ALXN,23,2020-05-29,5,0,0,0,ALXN,1,0,11,115.38,0,1269.18,0.0,0,0.0,-1.27,0.0,0.0,0.0,0,l: 3 s: 0,9519.21,0.0,3805.66,13324.87
2020-05-29 00:00:00 DLTR,24,2020-05-29,5,0,0,0,DLTR,1,0,14,97.02,0,1358.28,0.0,0,0.0,-1.36,0.0,0.0,0.0,0,l: 4 s: 0,8159.57,0.0,5163.94,13323.52
2020-06-08 00:00:00 AAL,25,2020-06-08,1,0,0,0,AAL,1,0,68,19.86,0,1350.48,0.0,0,0.0,-1.35,0.0,0.0,0.0,0,l: 5 s: 0,6807.74,0.0,6514.42,13322.17
2020-06-08 00:00:00 OXY,26,2020-06-08,1,0,0,0,OXY,1,0,58,23.47,0,1360.99,0.0,0,0.0,-1.36,0.0,0.0,0.0,0,l: 6 s: 0,5445.4,0.0,7875.41,13320.81
2020-06-08 00:00:00 SPG,27,2020-06-08,1,0,0,0,SPG,1,0,15,87.93,0,1318.96,0.0,0,0.0,-1.32,0.0,0.0,0.0,0,l: 7 s: 0,4125.12,0.0,9194.37,13319.49
2020-06-11 00:00:00 AAL,25,2020-06-08,1,2020-06-11 00:00:00,4,3,AAL,1,0,68,19.86,0,1350.48,14.61,0,993.48,0.0,-0.99,-357.0,-26.44,0,l: 7 s: 0,5117.6,0.0,7843.89,12961.49
2020-06-11 00:00:00 OXY,26,2020-06-08,1,2020-06-11 00:00:00,4,3,OXY,1,0,58,23.47,0,1360.99,17.79,0,1031.87,0.0,-1.03,-329.11,-24.18,0,l: 6 s: 0,6148.45,0.0,6482.9,12631.35
2020-06-11 00:00:00 SPG,27,2020-06-08,1,2020-06-11 00:00:00,4,3,SPG,1,0,15,87.93,0,1318.96,66.44,0,996.59,0.0,-1.0,-322.37,-24.44,0,l: 5 s: 0,7144.04,0.0,5163.94,12307.98
2020-07-06 00:00:00 AKAM,28,2020-07-06,1,0,0,0,AKAM,1,0,10,116.0,0,1160.0,0.0,0,0.0,-1.16,0.0,0.0,0.0,0,l: 5 s: 0,5982.88,0.0,6323.94,12306.82
2020-07-08 00:00:00 APD,29,2020-07-08,3,0,0,0,APD,1,0,4,261.11,0,1044.43,0.0,0,0.0,-1.04,0.0,0.0,0.0,0,l: 6 s: 0,4937.4,0.0,7368.38,12305.78
2020-07-08 00:00:00 ROL,30,2020-07-08,3,0,0,0,ROL,1,0,41,29.93,0,1227.06,0.0,0,0.0,-1.23,0.0,0.0,0.0,0,l: 7 s: 0,3709.11,0.0,8595.44,12304.55
2020-07-14 00:00:00 MXIM,31,2020-07-14,2,0,0,0,MXIM,1,0,18,67.06,0,1207.12,0.0,0,0.0,-1.21,0.0,0.0,0.0,0,l: 8 s: 0,2500.78,0.0,9802.56,12303.34
2020-07-16 00:00:00 HBI,32,2020-07-16,4,0,0,0,HBI,1,0,92,13.53,0,1244.71,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 9 s: 0,1254.82,0.0,11047.27,12302.1
2020-07-20 00:00:00 ISRG,33,2020-07-20,1,0,0,0,ISRG,1,0,5,215.15,0,1075.73,0.0,0,0.0,-1.08,0.0,0.0,0.0,0,l: 10 s: 0,178.01,0.0,12123.01,12301.02
2020-07-27 00:00:00 ALXN,23,2020-05-29,5,2020-07-27 00:00:00,1,59,ALXN,1,0,11,115.38,0,1269.18,102.32,0,1125.52,0.0,-1.13,-143.66,-11.32,0,l: 10 s: 0,1302.41,0.0,10853.83,12156.24
2020-07-27 00:00:00 AMD,34,2020-07-27,1,0,0,0,AMD,1,0,18,69.28,0,1247.04,0.0,0,0.0,-1.25,0.0,0.0,0.0,0,l: 10 s: 0,54.12,0.0,12100.87,12154.99
2020-08-11 00:00:00 AKAM,28,2020-07-06,1,2020-08-11 00:00:00,2,36,AKAM,1,0,10,116.0,0,1160.0,108.0,0,1080.0,0.0,-1.08,-80.0,-6.9,0,l: 10 s: 0,1133.04,0.0,10940.87,12073.91
2020-08-11 00:00:00 FDX,35,2020-08-11,2,0,0,0,FDX,1,0,5,197.41,0,987.04,0.0,0,0.0,-0.99,0.0,0.0,0.0,0,l: 10 s: 0,145.01,0.0,11927.91,12072.92
2020-09-04 00:00:00 FTNT,21,2020-05-08,5,2020-09-04 00:00:00,5,119,FTNT,1,0,9,134.23,0,1208.07,119.99,0,1079.91,0.0,-1.08,-128.16,-10.61,0,l: 10 s: 0,1223.84,0.0,10719.84,11943.68
2020-09-09 00:00:00 MS,22,2020-05-28,4,2020-09-09 00:00:00,3,104,MS,1,0,29,45.81,0,1328.41,49.39,0,1432.22,0.0,-1.43,103.81,7.81,1,l: 9 s: 0,2654.63,0.0,9391.43,12046.06
2020-09-09 00:00:00 MXIM,31,2020-07-14,2,2020-09-09 00:00:00,3,57,MXIM,1,0,18,67.06,0,1207.12,65.99,0,1187.82,0.0,-1.19,-19.3,-1.6,0,l: 8 s: 0,3841.26,0.0,8184.31,12025.57
2020-09-21 00:00:00 ISRG,33,2020-07-20,1,2020-09-21 00:00:00,1,63,ISRG,1,0,5,215.15,0,1075.73,216.03,0,1080.17,0.0,-1.08,4.43,0.41,1,l: 7 s: 0,4920.35,0.0,7108.57,12028.92
2020-09-21 00:00:00 ROL,30,2020-07-08,3,2020-09-21 00:00:00,1,75,ROL,1,0,41,29.93,0,1227.06,34.5,0,1414.59,0.0,-1.41,187.52,15.28,1,l: 6 s: 0,6333.52,0.0,5881.51,12215.03
2020-09-24 00:00:00 APD,29,2020-07-08,3,2020-09-24 00:00:00,4,78,APD,1,0,4,261.11,0,1044.43,279.84,0,1119.35,0.0,-1.12,74.92,7.17,1,l: 5 s: 0,7451.76,0.0,4837.08,12288.83
2020-09-24 00:00:00 NKE,36,2020-09-24,4,0,0,0,NKE,1,0,9,125.47,0,1129.23,0.0,0,0.0,-1.13,0.0,0.0,0.0,0,l: 5 s: 0,6321.4,0.0,5966.3,12287.7
2020-10-12 00:00:00 XLNX,37,2020-10-12,1,0,0,0,XLNX,1,0,10,116.92,0,1169.18,0.0,0,0.0,-1.17,0.0,0.0,0.0,0,l: 6 s: 0,5151.05,0.0,7135.48,12286.53
2020-10-23 00:00:00 ALGN,38,2020-10-23,5,0,0,0,ALGN,1,0,2,451.34,0,902.68,0.0,0,0.0,-0.9,0.0,0.0,0.0,0,l: 7 s: 0,4247.47,0.0,8038.16,12285.63
2020-10-29 00:00:00 AMD,34,2020-07-27,1,2020-10-29 00:00:00,4,94,AMD,1,0,18,69.28,0,1247.04,76.75,0,1381.5,0.0,-1.38,134.46,10.78,1,l: 7 s: 0,5627.59,0.0,6791.12,12418.71
2020-10-29 00:00:00 NKE,36,2020-09-24,4,2020-10-29 00:00:00,4,35,NKE,1,0,9,125.47,0,1129.23,121.34,0,1092.07,0.0,-1.09,-37.15,-3.29,0,l: 6 s: 0,6718.57,0.0,5661.89,12380.46
2020-11-02 00:00:00 HBI,32,2020-07-16,4,2020-11-02 00:00:00,1,109,HBI,1,0,92,13.53,0,1244.71,15.73,0,1447.26,0.0,-1.45,202.55,16.27,1,l: 5 s: 0,8164.38,0.0,4417.18,12581.57
2020-11-03 00:00:00 GRMN,39,2020-11-03,2,0,0,0,GRMN,1,0,12,109.69,0,1316.28,0.0,0,0.0,-1.32,0.0,0.0,0.0,0,l: 5 s: 0,6846.78,0.0,5733.47,12580.25
2020-11-05 00:00:00 BIIB,40,2020-11-05,4,0,0,0,BIIB,1,0,3,348.0,0,1044.0,0.0,0,0.0,-1.04,0.0,0.0,0.0,0,l: 6 s: 0,5801.74,0.0,6777.47,12579.2
2020-11-06 00:00:00 ALB,41,2020-11-06,5,0,0,0,ALB,1,0,13,104.05,0,1352.6,0.0,0,0.0,-1.35,0.0,0.0,0.0,0,l: 7 s: 0,4447.79,0.0,8130.06,12577.85
2020-11-06 00:00:00 QCOM,42,2020-11-06,5,0,0,0,QCOM,1,0,10,143.29,0,1432.91,0.0,0,0.0,-1.43,0.0,0.0,0.0,0,l: 8 s: 0,3013.45,0.0,9562.97,12576.42
2020-11-09 00:00:00 BIIB,40,2020-11-05,4,2020-11-09 00:00:00,1,4,BIIB,1,0,3,348.0,0,1044.0,230.82,0,692.46,0.0,-0.69,-351.54,-33.67,0,l: 8 s: 0,3705.21,0.0,8518.97,12224.19
2020-11-09 00:00:00 MTD,43,2020-11-09,1,0,0,0,MTD,1,0,1,1182.48,0,1182.48,0.0,0,0.0,-1.18,0.0,0.0,0.0,0,l: 8 s: 0,2521.55,0.0,9701.45,12223.0
2020-11-10 00:00:00 ALK,44,2020-11-10,2,0,0,0,ALK,1,0,27,45.9,0,1239.3,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 9 s: 0,1281.01,0.0,10940.75,12221.77
2020-11-10 00:00:00 AMP,45,2020-11-10,2,0,0,0,AMP,1,0,7,180.29,0,1262.06,0.0,0,0.0,-1.26,0.0,0.0,0.0,0,l: 10 s: 0,17.69,0.0,12202.82,12220.5
2020-12-17 00:00:00 MTD,43,2020-11-09,1,2020-12-17 00:00:00,4,38,MTD,1,0,1,1182.48,0,1182.48,1119.53,0,1119.53,0.0,-1.12,-62.95,-5.32,0,l: 10 s: 0,1136.1,0.0,11020.34,12156.43
2020-12-21 00:00:00 FDX,35,2020-08-11,2,2020-12-21 00:00:00,1,132,FDX,1,0,5,197.41,0,987.04,269.52,0,1347.62,0.0,-1.35,360.57,36.53,1,l: 9 s: 0,2482.36,0.0,10033.29,12515.66
2021-01-05 00:00:00 FLIR,46,2021-01-05,2,0,0,0,FLIR,1,0,24,51.37,0,1232.79,0.0,0,0.0,-1.23,0.0,0.0,0.0,0,l: 9 s: 0,1248.34,0.0,11266.08,12514.42
2021-01-07 00:00:00 CF,47,2021-01-07,4,0,0,0,CF,1,0,29,42.69,0,1238.09,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 10 s: 0,9.01,0.0,12504.18,12513.19
