,id,entry_date,entry_weekday,exit_date,exit_weekday,duration,symbol,long,short,nshares,entry_price,entry_score,entry_value,exit_price,exit_score,exit_value,entry_comm,exit_comm,$change,%change,profitable,p.positions,p.cash,p.sh_cash,p.invested_capital,market_value
2021-01-28 00:00:00 ALGN,38,2020-10-23,5,2021-01-28 00:00:00,4,97,ALGN,1,0,2,451.34,0,902.68,509.36,0,1018.72,0.0,-1.02,116.04,12.86,1,l: 10 s: 0,1026.71,0.0,11601.5,12628.21
2021-01-28 00:00:00 DLTR,24,2020-05-29,5,2021-01-28 00:00:00,4,244,DLTR,1,0,14,97.02,0,1358.28,101.67,0,1423.38,0.0,-1.42,65.1,4.79,1,l: 9 s: 0,2448.67,0.0,10243.22,12691.88
2021-01-28 00:00:00 XLNX,37,2020-10-12,1,2021-01-28 00:00:00,4,108,XLNX,1,0,10,116.92,0,1169.18,137.05,0,1370.5,0.0,-1.37,201.32,17.22,1,l: 8 s: 0,3817.8,0.0,9074.04,12891.84
2021-01-28 00:00:00 IRM,48,2021-01-28,4,0,0,0,IRM,1,0,36,34.78,0,1252.04,0.0,0,0.0,-1.25,0.0,0.0,0.0,0,l: 8 s: 0,2564.5,0.0,10326.08,12890.58
2021-01-28 00:00:00 NTAP,49,2021-01-28,4,0,0,0,NTAP,1,0,18,67.91,0,1222.34,0.0,0,0.0,-1.22,0.0,0.0,0.0,0,l: 9 s: 0,1340.94,0.0,11548.42,12889.36
2021-01-28 00:00:00 STX,50,2021-01-28,4,0,0,0,STX,1,0,19,68.87,0,1308.45,0.0,0,0.0,-1.31,0.0,0.0,0.0,0,l: 10 s: 0,31.18,0.0,12856.87,12888.05
2021-02-01 00:00:00 GRMN,39,2020-11-03,2,2021-02-01 00:00:00,1,90,GRMN,1,0,12,109.69,0,1316.28,114.12,0,1369.43,0.0,-1.37,53.15,4.04,1,l: 10 s: 0,1399.24,0.0,11540.59,12939.83
2021-02-02 00:00:00 SWKS,51,2021-02-02,2,0,0,0,SWKS,1,0,7,186.94,0,1308.58,0.0,0,0.0,-1.31,0.0,0.0,0.0,0,l: 10 s: 0,89.35,0.0,12849.17,12938.52
2021-02-05 00:00:00 ALB,41,2020-11-06,5,2021-02-05 00:00:00,5,91,ALB,1,0,13,104.05,0,1352.6,156.25,0,2031.22,0.0,-2.03,678.62,50.17,1,l: 10 s: 0,2118.54,0.0,11496.57,13615.11
2021-02-05 00:00:00 QCOM,42,2020-11-06,5,2021-02-05 00:00:00,5,91,QCOM,1,0,10,143.29,0,1432.91,146.71,0,1467.09,0.0,-1.47,34.18,2.39,1,l: 9 s: 0,3584.16,0.0,10063.66,13647.82
2021-02-05 00:00:00 ALGN,52,2021-02-05,5,0,0,0,ALGN,1,0,2,622.09,0,1244.18,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 9 s: 0,2338.74,0.0,11307.84,13646.58
2021-02-05 00:00:00 PYPL,53,2021-02-05,5,0,0,0,PYPL,1,0,8,268.61,0,2148.88,0.0,0,0.0,-2.15,0.0,0.0,0.0,0,l: 10 s: 0,187.71,0.0,13456.72,13644.43
2021-02-26 00:00:00 NTAP,49,2021-01-28,4,2021-02-26 00:00:00,5,29,NTAP,1,0,18,67.91,0,1222.34,61.57,0,1108.23,0.0,-1.11,-114.11,-9.34,0,l: 10 s: 0,1294.83,0.0,12234.38,13529.21
2021-03-02 00:00:00 IVZ,54,2021-03-02,2,0,0,0,IVZ,1,0,53,24.27,0,1286.36,0.0,0,0.0,-1.29,0.0,0.0,0.0,0,l: 10 s: 0,7.18,0.0,13520.74,13527.92
2021-03-04 00:00:00 ALGN,52,2021-02-05,5,2021-03-04 00:00:00,4,27,ALGN,1,0,2,622.09,0,1244.18,523.7,0,1047.4,0.0,-1.05,-196.78,-15.82,0,l: 10 s: 0,1053.54,0.0,12276.56,13330.1
2021-03-05 00:00:00 PYPL,53,2021-02-05,5,2021-03-05 00:00:00,5,28,PYPL,1,0,8,268.61,0,2148.88,243.12,0,1944.96,0.0,-1.94,-203.92,-9.49,0,l: 9 s: 0,2996.55,0.0,10127.68,13124.23
2021-03-05 00:00:00 SWKS,51,2021-02-02,2,2021-03-05 00:00:00,5,31,SWKS,1,0,7,186.94,0,1308.58,167.18,0,1170.26,0.0,-1.17,-138.32,-10.57,0,l: 8 s: 0,4165.64,0.0,8819.1,12984.74
2021-03-05 00:00:00 FANG,55,2021-03-05,5,0,0,0,FANG,1,0,16,83.1,0,1329.56,0.0,0,0.0,-1.33,0.0,0.0,0.0,0,l: 8 s: 0,2834.75,0.0,10148.66,12983.41
2021-03-19 00:00:00 HIG,56,2021-03-19,5,0,0,0,HIG,1,0,21,67.19,0,1410.9,0.0,0,0.0,-1.41,0.0,0.0,0.0,0,l: 9 s: 0,1422.44,0.0,11559.56,12982.0
2021-03-23 00:00:00 KSU,57,2021-03-23,2,0,0,0,KSU,1,0,5,248.62,0,1243.11,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 10 s: 0,178.08,0.0,12802.68,12980.76
2021-05-11 00:00:00 FLIR,46,2021-01-05,2,2021-05-11 00:00:00,2,126,FLIR,1,0,24,51.37,0,1232.79,58.29,0,1398.96,0.0,-1.4,166.17,13.48,1,l: 10 s: 0,1575.64,0.0,11569.89,13145.53
2021-05-12 00:00:00 ALK,44,2020-11-10,2,2021-05-12 00:00:00,3,183,ALK,1,0,27,45.9,0,1239.3,65.23,0,1761.21,0.0,-1.76,521.91,42.11,1,l: 9 s: 0,3335.09,0.0,10330.59,13665.68
2021-05-12 00:00:00 HIG,56,2021-03-19,5,2021-05-12 00:00:00,3,54,HIG,1,0,21,67.19,0,1410.9,63.98,0,1343.58,0.0,-1.34,-67.32,-4.77,0,l: 8 s: 0,4677.33,0.0,8919.68,13597.01
2021-05-28 00:00:00 GE,58,2021-05-28,5,0,0,0,GE,1,0,13,114.23,0,1485.03,0.0,0,0.0,-1.49,0.0,0.0,0.0,0,l: 8 s: 0,3190.81,0.0,10404.71,13595.52
2021-06-02 00:00:00 DVN,59,2021-06-02,3,0,0,0,DVN,1,0,53,29.99,0,1589.42,0.0,0,0.0,-1.59,0.0,0.0,0.0,0,l: 9 s: 0,1599.8,0.0,11994.13,13593.93
2021-06-02 00:00:00 MRO,60,2021-06-02,3,0,0,0,MRO,1,0,114,13.95,0,1590.3,0.0,0,0.0,-1.59,0.0,0.0,0.0,0,l: 10 s: 0,7.92,0.0,13584.43,13592.34
2021-06-18 00:00:00 AMP,45,2020-11-10,2,2021-06-18 00:00:00,5,220,AMP,1,0,7,180.29,0,1262.06,239.24,0,1674.7,0.0,-1.67,412.63,32.7,1,l: 10 s: 0,1680.94,0.0,12322.36,14003.3
2021-06-18 00:00:00 CF,47,2021-01-07,4,2021-06-18 00:00:00,5,162,CF,1,0,29,42.69,0,1238.09,49.01,0,1421.24,0.0,-1.42,183.15,14.79,1,l: 9 s: 0,3100.76,0.0,11084.27,14185.03
2021-06-18 00:00:00 KSU,57,2021-03-23,2,2021-06-18 00:00:00,5,87,KSU,1,0,5,248.62,0,1243.11,284.33,0,1421.65,0.0,-1.42,178.54,14.36,1,l: 8 s: 0,4520.99,0.0,9841.16,14362.14
2021-06-18 00:00:00 STX,50,2021-01-28,4,2021-06-18 00:00:00,5,141,STX,1,0,19,68.87,0,1308.45,87.28,0,1658.32,0.0,-1.66,349.87,26.74,1,l: 7 s: 0,6177.65,0.0,8532.71,14710.35
2021-06-30 00:00:00 IRM,48,2021-01-28,4,2021-06-30 00:00:00,3,153,IRM,1,0,36,34.78,0,1252.04,42.3,0,1522.8,0.0,-1.52,270.76,21.63,1,l: 6 s: 0,7698.92,0.0,7280.67,14979.59
2021-07-13 00:00:00 ALB,61,2021-07-13,2,0,0,0,ALB,1,0,8,185.9,0,1487.2,0.0,0,0.0,-1.49,0.0,0.0,0.0,0,l: 6 s: 0,6210.24,0.0,8767.87,14978.1
2021-07-16 00:00:00 FANG,55,2021-03-05,5,2021-07-16 00:00:00,5,133,FANG,1,0,16,83.1,0,1329.56,82.09,0,1313.51,0.0,-1.31,-16.05,-1.21,0,l: 6 s: 0,7522.43,0.0,7438.31,14960.74
2021-07-16 00:00:00 MRO,60,2021-06-02,3,2021-07-16 00:00:00,5,44,MRO,1,0,114,13.95,0,1590.3,12.37,0,1409.81,0.0,-1.41,-180.48,-11.35,0,l: 5 s: 0,8930.84,0.0,5848.01,14778.85
2021-07-19 00:00:00 DVN,59,2021-06-02,3,2021-07-19 00:00:00,1,47,DVN,1,0,53,29.99,0,1589.42,24.59,0,1303.27,0.0,-1.3,-286.15,-18.0,0,l: 4 s: 0,10232.8,0.0,4258.59,14491.4
2021-07-19 00:00:00 IVZ,54,2021-03-02,2,2021-07-19 00:00:00,1,139,IVZ,1,0,53,24.27,0,1286.36,24.04,0,1274.11,0.0,-1.27,-12.25,-0.95,0,l: 3 s: 0,11505.64,0.0,2972.23,14477.87
2021-07-20 00:00:00 GE,58,2021-05-28,5,2021-07-20 00:00:00,2,53,GE,1,0,13,114.23,0,1485.03,96.08,0,1249.04,0.0,-1.25,-235.99,-15.89,0,l: 2 s: 0,12753.43,0.0,1487.2,14240.63
2021-07-21 00:00:00 HCA,62,2021-07-21,3,0,0,0,HCA,1,0,5,250.99,0,1254.95,0.0,0,0.0,-1.25,0.0,0.0,0.0,0,l: 2 s: 0,11497.22,0.0,2742.15,14239.37
2021-07-23 00:00:00 DPZ,63,2021-07-23,5,0,0,0,DPZ,1,0,2,541.99,0,1083.98,0.0,0,0.0,-1.08,0.0,0.0,0.0,0,l: 3 s: 0,10412.16,0.0,3826.13,14238.29
2021-07-27 00:00:00 PKI,64,2021-07-27,2,0,0,0,PKI,1,0,8,173.25,0,1386.0,0.0,0,0.0,-1.39,0.0,0.0,0.0,0,l: 4 s: 0,9024.77,0.0,5212.13,14236.9
2021-07-30 00:00:00 ALGN,65,2021-07-30,5,0,0,0,ALGN,1,0,2,675.6,0,1351.2,0.0,0,0.0,-1.35,0.0,0.0,0.0,0,l: 5 s: 0,7672.22,0.0,6563.33,14235.55
2021-08-02 00:00:00 BIO,66,2021-08-02,1,0,0,0,BIO,1,0,2,742.96,0,1485.92,0.0,0,0.0,-1.49,0.0,0.0,0.0,0,l: 6 s: 0,6184.82,0.0,8049.25,14234.07
2021-08-02 00:00:00 DXCM,67,2021-08-02,1,0,0,0,DXCM,1,0,2,517.19,0,1034.38,0.0,0,0.0,-1.03,0.0,0.0,0.0,0,l: 7 s: 0,5149.4,0.0,9083.63,14233.03
2021-08-02 00:00:00 KLAC,68,2021-08-02,1,0,0,0,KLAC,1,0,4,347.05,0,1388.19,0.0,0,0.0,-1.39,0.0,0.0,0.0,0,l: 8 s: 0,3759.82,0.0,10471.82,14231.64
2021-08-03 00:00:00 DXC,69,2021-08-03,2,0,0,0,DXC,1,0,42,44.0,0,1848.0,0.0,0,0.0,-1.85,0.0,0.0,0.0,0,l: 9 s: 0,1909.98,0.0,12319.82,14229.79
2021-08-04 00:00:00 IT,70,2021-08-04,3,0,0,0,IT,1,0,6,295.28,0,1771.68,0.0,0,0.0,-1.77,0.0,0.0,0.0,0,l: 10 s: 0,136.52,0.0,14091.5,14228.02
2021-08-18 00:00:00 DXC,69,2021-08-03,2,2021-08-18 00:00:00,3,15,DXC,1,0,42,44.0,0,1848.0,36.76,0,1543.92,0.0,-1.54,-304.08,-16.45,0,l: 10 s: 0,1678.9,0.0,12243.5,13922.4
2021-08-20 00:00:00 SNPS,71,2021-08-20,5,0,0,0,SNPS,1,0,5,315.34,0,1576.7,0.0,0,0.0,-1.58,0.0,0.0,0.0,0,l: 10 s: 0,100.62,0.0,13820.2,13920.82
2021-08-25 00:00:00 DPZ,63,2021-07-23,5,2021-08-25 00:00:00,3,33,DPZ,1,0,2,541.99,0,1083.98,502.48,0,1004.96,0.0,-1.0,-79.02,-7.29,0,l: 10 s: 0,1104.58,0.0,12736.22,13840.8
2021-09-03 00:00:00 PWR,72,2021-09-03,5,0,0,0,PWR,1,0,9,114.44,0,1029.96,0.0,0,0.0,-1.03,0.0,0.0,0.0,0,l: 10 s: 0,73.59,0.0,13766.18,13839.77
2021-09-21 00:00:00 ALB,61,2021-07-13,2,2021-09-21 00:00:00,2,70,ALB,1,0,8,185.9,0,1487.2,218.64,0,1749.12,0.0,-1.75,261.92,17.61,1,l: 10 s: 0,1820.96,0.0,12278.98,14099.94
2021-09-22 00:00:00 SNPS,71,2021-08-20,5,2021-09-22 00:00:00,3,33,SNPS,1,0,5,315.34,0,1576.7,319.0,0,1595.0,0.0,-1.6,18.3,1.16,1,l: 9 s: 0,3414.36,0.0,10702.28,14116.64
2021-09-28 00:00:00 BIO,66,2021-08-02,1,2021-09-28 00:00:00,2,57,BIO,1,0,2,742.96,0,1485.92,760.59,0,1521.18,0.0,-1.52,35.26,2.37,1,l: 8 s: 0,4934.02,0.0,9216.36,14150.38
2021-09-28 00:00:00 PKI,64,2021-07-27,2,2021-09-28 00:00:00,2,63,PKI,1,0,8,173.25,0,1386.0,174.67,0,1397.36,0.0,-1.4,11.36,0.82,1,l: 7 s: 0,6329.99,0.0,7830.36,14160.34
2021-09-29 00:00:00 ALGN,65,2021-07-30,5,2021-09-29 00:00:00,3,61,ALGN,1,0,2,675.6,0,1351.2,679.4,0,1358.8,0.0,-1.36,7.6,0.56,1,l: 6 s: 0,7687.43,0.0,6479.16,14166.59
2021-10-01 00:00:00 HCA,62,2021-07-21,3,2021-10-01 00:00:00,5,72,HCA,1,0,5,250.99,0,1254.95,243.87,0,1219.35,0.0,-1.22,-35.6,-2.84,0,l: 5 s: 0,8905.56,0.0,5224.21,14129.77
2021-10-04 00:00:00 MRK,73,2021-10-04,1,0,0,0,MRK,1,0,17,84.17,0,1430.89,0.0,0,0.0,-1.43,0.0,0.0,0.0,0,l: 5 s: 0,7473.24,0.0,6655.1,14128.34
2021-10-05 00:00:00 DXCM,67,2021-08-02,1,2021-10-05 00:00:00,2,64,DXCM,1,0,2,517.19,0,1034.38,528.22,0,1056.44,0.0,-1.06,22.06,2.13,1,l: 5 s: 0,8528.62,0.0,5620.72,14149.34
2021-10-05 00:00:00 PWR,72,2021-09-03,5,2021-10-05 00:00:00,2,32,PWR,1,0,9,114.44,0,1029.96,113.16,0,1018.44,0.0,-1.02,-11.52,-1.12,0,l: 4 s: 0,9546.04,0.0,4590.76,14136.8
2021-10-18 00:00:00 JBHT,74,2021-10-18,1,0,0,0,JBHT,1,0,7,191.21,0,1338.47,0.0,0,0.0,-1.34,0.0,0.0,0.0,0,l: 4 s: 0,8206.23,0.0,5929.23,14135.46
2021-10-22 00:00:00 MTCH,75,2021-10-22,5,0,0,0,MTCH,1,0,7,172.43,0,1207.01,0.0,0,0.0,-1.21,0.0,0.0,0.0,0,l: 5 s: 0,6998.02,0.0,7136.24,14134.26
2021-10-26 00:00:00 TSLA,76,2021-10-26,2,0,0,0,TSLA,1,0,1,1024.69,0,1024.69,0.0,0,0.0,-1.02,0.0,0.0,0.0,0,l: 6 s: 0,5972.3,0.0,8160.93,14133.23
2021-11-01 00:00:00 DXCM,77,2021-11-01,1,0,0,0,DXCM,1,0,2,627.27,0,1254.54,0.0,0,0.0,-1.25,0.0,0.0,0.0,0,l: 7 s: 0,4716.51,0.0,9415.47,14131.98
2021-11-03 00:00:00 ANET,78,2021-11-03,3,0,0,0,ANET,1,0,3,491.03,0,1473.09,0.0,0,0.0,-1.47,0.0,0.0,0.0,0,l: 8 s: 0,3241.94,0.0,10888.56,14130.5
2021-11-03 00:00:00 BEN,79,2021-11-03,3,0,0,0,BEN,1,0,43,37.63,0,1618.09,0.0,0,0.0,-1.62,0.0,0.0,0.0,0,l: 9 s: 0,1622.24,0.0,12506.65,14128.89
2021-11-03 00:00:00 UA,80,2021-11-03,3,0,0,0,UA,1,0,73,22.1,0,1613.3,0.0,0,0.0,-1.61,0.0,0.0,0.0,0,l: 10 s: 0,7.32,0.0,14119.95,14127.27
2021-11-10 00:00:00 ANET,78,2021-11-03,3,2021-11-10 00:00:00,3,7,ANET,1,0,3,491.03,0,1473.09,523.88,0,1571.64,0.0,-1.57,98.55,6.69,1,l: 10 s: 0,1577.39,0.0,12646.86,14224.25
2021-11-10 00:00:00 BEN,79,2021-11-03,3,2021-11-10 00:00:00,3,7,BEN,1,0,43,37.63,0,1618.09,35.55,0,1528.65,0.0,-1.53,-89.44,-5.53,0,l: 9 s: 0,3104.51,0.0,11028.77,14133.28
2021-11-10 00:00:00 DXCM,77,2021-11-01,1,2021-11-10 00:00:00,3,9,DXCM,1,0,2,627.27,0,1254.54,631.92,0,1263.84,0.0,-1.26,9.3,0.74,1,l: 8 s: 0,4367.09,0.0,9774.23,14141.32
2021-11-10 00:00:00 IT,70,2021-08-04,3,2021-11-10 00:00:00,3,98,IT,1,0,6,295.28,0,1771.68,337.0,0,2022.0,0.0,-2.02,250.32,14.13,1,l: 7 s: 0,6387.07,0.0,8002.55,14389.62
2021-11-10 00:00:00 JBHT,74,2021-10-18,1,2021-11-10 00:00:00,3,23,JBHT,1,0,7,191.21,0,1338.47,194.64,0,1362.48,0.0,-1.36,24.01,1.79,1,l: 6 s: 0,7748.18,0.0,6664.08,14412.26
2021-11-10 00:00:00 KLAC,68,2021-08-02,1,2021-11-10 00:00:00,3,100,KLAC,1,0,4,347.05,0,1388.19,410.04,0,1640.16,0.0,-1.64,251.97,18.15,1,l: 5 s: 0,9386.7,0.0,5275.89,14662.59
2021-11-10 00:00:00 MRK,73,2021-10-04,1,2021-11-10 00:00:00,3,37,MRK,1,0,17,84.17,0,1430.89,83.31,0,1416.27,0.0,-1.42,-14.62,-1.02,0,l: 4 s: 0,10801.56,0.0,3845.0,14646.56
2021-11-10 00:00:00 MTCH,75,2021-10-22,5,2021-11-10 00:00:00,3,19,MTCH,1,0,7,172.43,0,1207.01,154.13,0,1078.91,0.0,-1.08,-128.1,-10.61,0,l: 3 s: 0,11879.39,0.0,2637.99,14517.38
2021-11-10 00:00:00 TSLA,76,2021-10-26,2,2021-11-10 00:00:00,3,15,TSLA,1,0,1,1024.69,0,1024.69,1010.41,0,1010.41,0.0,-1.01,-14.28,-1.39,0,l: 2 s: 0,12888.79,0.0,1613.3,14502.09
2021-11-10 00:00:00 UA,80,2021-11-03,3,2021-11-10 00:00:00,3,7,UA,1,0,73,22.1,0,1613.3,21.04,0,1535.92,0.0,-1.54,-77.38,-4.8,0,l: 1 s: 0,14423.17,0.0,0.0,14423.17
